X,Y,OBJECTID,name,amenity,healthcare,healthcare_speciality,operator,operator_type,contact_phone,contact_website,contact_email,contact_fax,addr,address_full,address_street,address_housenumber,address_postcode,address_city,address_housename,address_suburb,address_subdistrict,address_district,address_province,address_state,denomination,religion,emergency,rooms,beds,capacity,wheelchair,wikidata,wikipedia,ORIG_FID,GlobalID
10.504672848000041,50.033001453000054,2001,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14240,6f8f9441-9417-4a19-87a8-8d854e231dfd
9.863888437000071,50.325818129000027,2002,Kinder- und Jugenddorf St. Anton,nursing_home,,,Caritas,,,,,,,,,,,,,,,,,,,,,,,,,,,14258,a0eeeb8b-6d19-4489-9729-17b271e4f734
10.163015082000072,49.73611580000005,2003,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14306,bb80bc8a-cf9e-4d70-b2ad-fe6af0ffd5b2
8.820962800000075,47.758338724000055,2004,PZH Pflegezentrum,nursing_home,,,Pflegezentrum Hegau,,,,,,,,Virchowstraße,6a,78224,Singen (Hohentwiel),,,,,,,,,fire_detection_system,,,,yes,,,14316,b37afa38-6a72-4101-a794-54bd0d660477
9.70335416100005,50.049885121000045,2005,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14332,442758c6-cb53-4016-8ae2-c04e8f425c4b
14.997773810000069,51.163156147000052,2006,Dom Opieki,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14333,7f339ef0-1960-4bbd-a4cc-47f3f9566cf3
10.55113665500005,51.95538203600006,2007,DRK Zentrum an der Rabeckbreite,nursing_home,,,Deutsches Rotes Kreuz,,,,,,,,Rabeckbreite,,,,,,,,,,,,,,,,,,,14359,7e6f637a-965a-4e53-9b0e-b78df1ef2c0c
10.695283800000027,50.935192466000046,2008,"Alten- und Pflegeheim ""August Creutzburg""",nursing_home,,,,,,,,,,,Pestalozzistraße,2a,99867,Gotha,,,,,,,,,,,,,,,,14364,d01be316-8f26-4cb4-8417-d06d3e2f697e
7.986425048000058,50.839923274000057,2009,Haus Gilberghof Siegen-Eiserfeld,nursing_home,,,Casa Reha,,,,,,,,Eisenhutstraße,15,57080,Siegen,,,,,,,,,,,,,,,,14366,d543c6e7-d0d4-43e4-b2a3-053124a45357
6.587151255000038,51.377277422000077,2010,Dr.-Ulrich-Lange-Stiftung,nursing_home,,,,,,,,,,,Buscher Holzweg,100,47802,Krefeld,,,,,,,,,,,,,,,,14367,4980cf8d-8d32-4ad1-90c4-e8706afc1bbf
9.166793150000046,49.81071675700008,2011,Seniorenwohnstift,nursing_home,,,,,,,,,,,Krankenhausstraße,39,,,,,,,,,,,,,,,,,,14373,604b5479-cdfe-4d8b-ad09-1b798b3fb31f
8.944076300000063,48.69416846200005,2012,Pflegeheim Haus an der Schwippe,nursing_home,,,,,+49 7031 2046880,http://www.diakonie-sindelfingen.de/pflegeheim-haus-an-der-schwippe,,,,,Dagersheimer Straße,45,71069,Sindelfingen,,Darmsheim,,,,,,,,,,,,,,14395,9ca0c154-48bc-4df2-8e90-26661c00ddf0
10.34385764700005,49.902454074000048,2013,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14416,9111162d-2fad-4707-97cf-2ad9c7466d75
6.762638612000046,50.851827265000054,2014,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14441,95e67988-321d-4bf4-b1c1-c22662b22f44
